spotify_id,song_name,artist_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),PSY,75,219493,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,4
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,88,257267,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,4
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,88,233713,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,85,281560,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,4
6F5c58TMEs1byxUstkzVeM,Roar,Katy Perry,74,223546,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,4
6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,81,229360,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,4
09SNuR471zu5nVvC4IVG8j,Dame Tu Cosita (feat. Cutty Ranks),El Chombo,42,152000,0.891,0.925,2,-5.271,1,0.156,0.0348,0.0,0.277,0.692,110.017,4
6bNB5gxFX6Q87DbQWb8OWZ,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,69,202627,0.758,0.871,2,-6.408,1,0.147,0.0062,0.0,0.0663,0.753,126.994,4
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,85,200787,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,4
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,85,229526,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4
5d6Mjuu2uCGRPYpFjGpCX5,Sugar,Maroon 5,72,235493,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,4
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,85,269667,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4
0Bo5fjMtTfCD8vHGebivqc,Axel F,Crazy Frog,71,168880,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,4
5jrdCoLpJSvHHorevXBATy,Dark Horse,Katy Perry,78,215672,0.645,0.585,6,-6.122,1,0.0513,0.00314,0.0,0.165,0.353,131.931,4
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,89,263400,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3
1qE47wUKG2juJwPoLqg4C9,Lean On (feat. MØ & DJ Snake),Major Lazer,64,176561,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
1nHKI4L5pWrN5CUvW07nHP,Let Her Go (feat. Ed Sheeran) - Anniversary Edition,Passenger,69,256987,0.483,0.486,6,-6.943,1,0.0345,0.586,1.34e-06,0.326,0.345,71.195,4
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,87,231833,0.737,0.725,0,-5.417,1,0.0641,0.0976,0.0,0.174,0.755,96.012,4
4ipnJyDU3Lq15qBAYNqlqK,Mi Gente,J Balvin,70,189440,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,4
6tybdkf1AI0MbJWKkHC1xe,श्री हनुमान चालीसा,Sachin Sood,1,304138,0.647,0.608,6,-7.521,1,0.0744,0.753,0.0,0.0727,0.688,116.132,4
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,75,235545,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,4
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,84,219209,0.632,0.807,7,-5.676,1,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,4
7gHs73wELdeycvS48JfIos,Faded,Alan Walker,73,212627,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,4
7COfe3P7KgfwDwIRB8LIDw,Mi Gente,J Balvin,75,185040,0.548,0.704,11,-4.838,0,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,4
5M830cD7MNeiiwIGHzH9TV,Bailando - Spanish Version,Enrique Iglesias,69,243387,0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,4
6nFYXpBgrNcZjbtNEuc6yR,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63,192227,0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,4
1Yk0cQdMLx5RzzFTYwmuld,Hello,Adele,78,295502,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,4
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,76,251088,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,83,209320,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4
6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,78,195840,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,4
15i07hah64WMAVWte3j5QU,Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2,245368,0.765,0.269,5,-10.773,0,0.121,0.324,0.395,0.106,0.359,189.96,4
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,84,217707,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,4
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,84,214240,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,79,214480,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,4
5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee,79,193227,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,89,202333,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,74,238200,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,4
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,Eminem,88,263373,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,85,222160,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,73,225600,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,4
4VrWlk8IQxevMvERoX08iC,Chandelier,Sia,83,216120,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,5
6Za3190Sbw39BBC77WSS1C,Criminal,NATTI NATASHA,76,232550,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,4
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,89,204347,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,Meghan Trainor,75,187920,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,4
1ExfPZEiahqhLyajhybFeS,The Lazy Song,Bruno Mars,75,189109,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,4
3MEYFivt6bilQ9q9mFWZ4g,Alone,Marshmello,73,273803,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,4
6RtPijgfPKROxEzTHNRiDp,Rude,MAGIC!,83,224840,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,4
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Shawn Mendes,88,187973,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,4
4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep,Adele,84,228093,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,4
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,84,285120,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3
46klpdhfGd8uqRrstIg39u,"Te Bote (Remix) [Made Popular By Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny] [Vocal Version]",Party Tyme Karaoke,1,410344,0.781,0.436,4,-9.984,0,0.458,0.483,5.51e-06,0.103,0.564,191.965,4
2AY1UAimvTqjJC8vDJsOyy,Mayores,Becky G,74,203187,0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993,4
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,88,247427,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,LMFAO,75,262147,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,4
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,87,269560,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,4
3V8hl91ooJp4Xw4W84AL7p,Starboy (Originally Performed by the Weeknd Ft. Daft Punk) - Karaoke Version,Hit The Button Karaoke,1,230000,0.741,0.661,7,-7.293,1,0.122,0.152,0.905,0.105,0.0573,93.0,4
0mlAOSILGRys2IbvyOT5VJ,Échame La Culpa,Luis Fonsi,74,173800,0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,4
6O20JhBJPePEkBdrB5sqRx,Diamonds,Rihanna,79,225147,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,4
1ip2IGDWMrUmlaepEbWlL8,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,63,250267,0.258,0.659,5,-5.903,0,0.0596,0.253,0.0,0.111,0.272,189.558,4
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,82,205680,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,4
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86,158040,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,4
3TW73IF0QApNkzDmeBPBAt,That’s What I Like,Bruno Mars,0,205080,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,4
3C0nOe05EIt1390bVABLyN,On The Floor,Jennifer Lopez,80,284867,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,4
41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),Fifth Harmony,75,224573,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,4
1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,The Chainsmokers,75,247627,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4
5YUyW9opqNsMSEzzecZih1,X,Nicky Jam,75,172854,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,4
5CtvxfWgbjMSucthZCDL4X,Somebody That I Used To Know - Tiësto Remix,Gotye,1,273095,0.629,0.628,9,-6.122,0,0.0405,0.000197,0.0116,0.0418,0.387,128.983,4
2ijef6ni2amuunRoKTlgww,Sin Pijama,Becky G,68,188560,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,4
44ONERBHALxftQNWq6dmyd,Side To Side,Ariana Grande,78,226160,0.65,0.736,6,-5.84,0,0.229,0.0513,0.0,0.235,0.612,159.174,4
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,77,237735,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,4
2beS6dD5rovBxSA1zYoSHR,No Me Conoce - Remix,Jhayco,84,309120,0.804,0.787,10,-3.824,0,0.0746,0.14,0.0,0.0927,0.562,91.974,4
1gGU3FKR2pXcYpaLb4fAVn,DDU-DU DDU-DU (Remix Version) [Live],BLACKPINK,34,207169,0.58,0.894,4,-3.411,0,0.133,0.0414,0.0,0.449,0.385,140.079,4
1Usj6PiGnp1LgNteMTS8aK,numb (Slowed + Reverb),my head is empty,54,121567,0.134,0.0211,5,-35.775,0,0.0336,0.898,0.875,0.0776,0.07,77.659,1
3vZM2544ETmOCCHuBPZRzm,Heathens,Twenty One Pilots,60,195743,0.737,0.476,4,-5.825,0,0.0262,0.0908,5.39e-05,0.0968,0.555,90.028,4
3bNv3VuUOKgrf5hu3YcuRo,Someone Like You,Adele,84,285240,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4
2qG5sZ7Si6sdK74qLxedYM,Con Altura,ROSALÍA,74,161627,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4
