Id,Song Name,Artist Name,Channel_name,View,Like,Subscriber,Hashtag,Most view per day,Highest rank,Most-view-date,Charted-duration,Popularity Score (Spotify),Duration,Country,Publish_time,Release Date (Spotify),Genre,spotify_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
9bZkp7q19f0,Gangnam Style (강남스타일),PSY,officialpsy,4977100201.0,27830052.0,18400000.0,4.0,14924298,1.0,2012-12-21,482.0,75,0:04:13,,2012-07-15 07:46:32,2012-01-01,"k-rap, korean old school hip hop",03UrZgTINDqvnUMbbIMhql,219493.0,0.727,0.937,11.0,-2.871,0.0,0.286,0.00417,0.0,0.091,0.749,132.067,4.0
hT_nvWreIhg,Counting Stars,OneRepublic,OneRepublicVEVO,3927343823.0,17491157.0,5470000.0,2.0,3288973,4.0,2018-11-10,482.0,88,0:04:44,,2013-05-31 07:00:36,2013-01-01,panamanian pop,2tpWsVSb9UEmDRxAl1zhX1,257267.0,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.118,0.477,122.016,4.0
JGwWNGJdvx8,Shape of You,Ed Sheeran,Ed Sheeran,6149237372.0,32323841.0,53900000.0,3.0,14390704,1.0,2017-05-13,356.0,88,0:04:24,,2017-01-30 10:57:50,2017-03-03,"colombian pop, dance pop, latin pop, pop",7qiZfU4dY1lWllzX7mPBI3,233713.0,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0
lp-EO5I60KA,Thinking out Loud,Ed Sheeran,Ed Sheeran,3700047693.0,14912926.0,53900000.0,3.0,3771622,3.0,2015-02-14,304.0,85,0:04:57,,2014-10-07 13:57:37,2014-06-21,"latin pop, puerto rican pop",34gCuhDGsG4bRPIf9bb02f,281560.0,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,4.0
CevxZvSJLk8,Roar,Katy Perry,KatyPerryVEVO,3918654705.0,16596026.0,24600000.0,0.0,11294380,2.0,2013-09-07,445.0,74,0:04:30,US,2013-09-05 20:00:22,2013-10-18,"canadian pop, pop",6F5c58TMEs1byxUstkzVeM,223546.0,0.554,0.772,7.0,-4.821,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,4.0
kJQP7kiw5Fk,Despacito,Luis Fonsi,LuisFonsiVEVO,8327579937.0,52536744.0,16900000.0,8.0,25794523,1.0,2017-08-05,359.0,81,0:04:42,US,2017-01-13 05:00:02,2019-02-01,"piano rock, pop",6habFhsOp2NvshLv26DqMb,229360.0,0.655,0.797,2.0,-4.787,1.0,0.153,0.198,0.0,0.067,0.839,177.928,4.0
FzG4uDgje3M,Dame Tu Cosita (feat. Cutty Ranks),El Chombo,Ultra Records,4494596566.0,18262030.0,29900000.0,0.0,14419156,1.0,2018-04-22,296.0,39,0:02:33,,2018-04-05 19:51:33,2018-05-10,pop soul,09SNuR471zu5nVvC4IVG8j,152000.0,0.891,0.925,2.0,-5.271,1.0,0.156,0.0348,0.0,0.277,0.692,110.017,4.0
pRpeEdMmmQ0,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,shakiraVEVO,3795631784.0,21936733.0,18400000.0,4.0,3551141,1.0,2010-06-26,622.0,69,0:03:31,,2010-06-04 22:30:35,2010-05-28,pop,6bNB5gxFX6Q87DbQWb8OWZ,202627.0,0.758,0.871,2.0,-6.408,1.0,0.147,0.0062,0.0,0.0663,0.753,126.994,4.0
fRh_vgS2dFE,Sorry,Justin Bieber,JustinBieberVEVO,3741591874.0,16306887.0,31500000.0,5.0,11051088,1.0,2015-12-31,115.0,85,0:03:26,US,2015-10-22 20:00:02,2015-11-13,"pop, singer-songwriter pop, uk pop",09CtPGIpYB4BrO8qb1RGsF,200787.0,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,4.0
RgKAFK5djSk,See You Again (feat. Charlie Puth),Wiz Khalifa,Wiz Khalifa Music,6108823354.0,42262511.0,15200.0,1.0,8818084,1.0,2015-05-23,449.0,61,0:03:58,,2015-04-07 03:00:03,2016-01-29,"pop, singer-songwriter pop, uk pop",2JzZzZUQj3Qff7wapcbKjc,229526.0,0.689,0.481,10.0,-7.503,1.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4.0
