danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.748,0.565,7,-5.895,1,0.0476,0.164,0.00169,0.103,0.812,175.92,audio_features,5zSOVwaY3sVjnmLhuEfsuf,spotify:track:5zSOVwaY3sVjnmLhuEfsuf,https://api.spotify.com/v1/tracks/5zSOVwaY3sVjnmLhuEfsuf,https://api.spotify.com/v1/audio-analysis/5zSOVwaY3sVjnmLhuEfsuf,193227,4
0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,audio_features,7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/audio-analysis/7dSZ6zGTQx66c2GF91xCrb,210200,4
0.746,0.585,4,-5.937,0,0.0491,0.168,0.0,0.264,0.948,182.018,audio_features,37kCg5izHEMZ66xGdMVG5L,spotify:track:37kCg5izHEMZ66xGdMVG5L,https://api.spotify.com/v1/tracks/37kCg5izHEMZ66xGdMVG5L,https://api.spotify.com/v1/audio-analysis/37kCg5izHEMZ66xGdMVG5L,259240,4
0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067,4
0.891,0.486,6,-7.803,1,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,audio_features,4scpF6J5uMBvoh6sFB7EL1,spotify:track:4scpF6J5uMBvoh6sFB7EL1,https://api.spotify.com/v1/tracks/4scpF6J5uMBvoh6sFB7EL1,https://api.spotify.com/v1/audio-analysis/4scpF6J5uMBvoh6sFB7EL1,200080,4
0.839,0.65,4,-3.38,0,0.212,0.666,0.0,0.126,0.7,90.015,audio_features,2oMjKuKUEJFuLiVmTq7Vjx,spotify:track:2oMjKuKUEJFuLiVmTq7Vjx,https://api.spotify.com/v1/tracks/2oMjKuKUEJFuLiVmTq7Vjx,https://api.spotify.com/v1/audio-analysis/2oMjKuKUEJFuLiVmTq7Vjx,198360,4
0.47,0.476,10,-10.448,1,0.0272,0.448,0.000145,0.131,0.417,134.903,audio_features,1FzXFRQWwh8os0fR2VwbIF,spotify:track:1FzXFRQWwh8os0fR2VwbIF,https://api.spotify.com/v1/tracks/1FzXFRQWwh8os0fR2VwbIF,https://api.spotify.com/v1/audio-analysis/1FzXFRQWwh8os0fR2VwbIF,292187,4
0.811,0.921,5,-3.152,0,0.117,0.182,0.0,0.823,0.756,94.98,audio_features,5T3rp70MEW4XnWv82BDVey,spotify:track:5T3rp70MEW4XnWv82BDVey,https://api.spotify.com/v1/tracks/5T3rp70MEW4XnWv82BDVey,https://api.spotify.com/v1/audio-analysis/5T3rp70MEW4XnWv82BDVey,212925,4
0.76,0.838,7,-3.828,0,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,audio_features,5hEM0JchdVzQ5PwvSfITeX,spotify:track:5hEM0JchdVzQ5PwvSfITeX,https://api.spotify.com/v1/tracks/5hEM0JchdVzQ5PwvSfITeX,https://api.spotify.com/v1/audio-analysis/5hEM0JchdVzQ5PwvSfITeX,210323,4
0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974,audio_features,1cdbkpZ3q1KYZDNSrOpdkb,spotify:track:1cdbkpZ3q1KYZDNSrOpdkb,https://api.spotify.com/v1/tracks/1cdbkpZ3q1KYZDNSrOpdkb,https://api.spotify.com/v1/audio-analysis/1cdbkpZ3q1KYZDNSrOpdkb,175813,4
0.759,0.952,2,-2.837,1,0.123,0.105,0.0,0.0693,0.812,128.039,audio_features,2xbvLQBFW7E9232BwMBljb,spotify:track:2xbvLQBFW7E9232BwMBljb,https://api.spotify.com/v1/tracks/2xbvLQBFW7E9232BwMBljb,https://api.spotify.com/v1/audio-analysis/2xbvLQBFW7E9232BwMBljb,206859,4
0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974,audio_features,1cdbkpZ3q1KYZDNSrOpdkb,spotify:track:1cdbkpZ3q1KYZDNSrOpdkb,https://api.spotify.com/v1/tracks/1cdbkpZ3q1KYZDNSrOpdkb,https://api.spotify.com/v1/audio-analysis/1cdbkpZ3q1KYZDNSrOpdkb,175813,4
0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,audio_features,1LIqNVhaIgxXUt2eVoIQJ3,spotify:track:1LIqNVhaIgxXUt2eVoIQJ3,https://api.spotify.com/v1/tracks/1LIqNVhaIgxXUt2eVoIQJ3,https://api.spotify.com/v1/audio-analysis/1LIqNVhaIgxXUt2eVoIQJ3,184436,4
