danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4
0.489,0.597,5,-6.633,0,0.0292,0.27,0.0,0.105,0.324,95.012,audio_features,0Cy7wt6IlRfBPHXXjmZbcP,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/tracks/0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/audio-analysis/0Cy7wt6IlRfBPHXXjmZbcP,253520,4
0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4
0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,audio_features,58zsLZPvfflaiIbNWoA22O,spotify:track:58zsLZPvfflaiIbNWoA22O,https://api.spotify.com/v1/tracks/58zsLZPvfflaiIbNWoA22O,https://api.spotify.com/v1/audio-analysis/58zsLZPvfflaiIbNWoA22O,200187,4
0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,audio_features,3DXncPQOG4VBw3QHh3S817,spotify:track:3DXncPQOG4VBw3QHh3S817,https://api.spotify.com/v1/tracks/3DXncPQOG4VBw3QHh3S817,https://api.spotify.com/v1/audio-analysis/3DXncPQOG4VBw3QHh3S817,288600,4
0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
0.788,0.745,5,-7.072,1,0.258,0.29,0.0,0.0373,0.672,135.278,audio_features,5frDSkLEcCJjQSdvUB2JG8,spotify:track:5frDSkLEcCJjQSdvUB2JG8,https://api.spotify.com/v1/tracks/5frDSkLEcCJjQSdvUB2JG8,https://api.spotify.com/v1/audio-analysis/5frDSkLEcCJjQSdvUB2JG8,163893,4
0.619,0.686,7,-6.369,1,0.164,0.0385,0.0,0.307,0.364,169.943,audio_features,64FzgoLZ3oXu2SriZblHic,spotify:track:64FzgoLZ3oXu2SriZblHic,https://api.spotify.com/v1/tracks/64FzgoLZ3oXu2SriZblHic,https://api.spotify.com/v1/audio-analysis/64FzgoLZ3oXu2SriZblHic,211104,4
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973,4
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,audio_features,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/tracks/3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/audio-analysis/3Ueq2zboxwAbsvHrOjdEqz,210368,4
