Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
Gangnam Style (강남스타일),PSY,2012-01-01,75,"['k-rap', 'korean old school hip hop']"
Counting Stars,OneRepublic,2013-01-01,88,['panamanian pop']
Shape of You,Ed Sheeran,2017-03-03,88,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Thinking out Loud,Ed Sheeran,2014-06-21,85,"['latin pop', 'puerto rican pop']"
Roar,Katy Perry,2013-10-18,74,"['canadian pop', 'pop']"
Despacito,Luis Fonsi,2019-02-01,81,"['piano rock', 'pop']"
Dame Tu Cosita (feat. Cutty Ranks),El Chombo,2018-05-10,39,['pop soul']
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-05-28,69,['pop']
Sorry,Justin Bieber,2015-11-13,85,"['pop', 'singer-songwriter pop', 'uk pop']"
See You Again (feat. Charlie Puth),Wiz Khalifa,2016-01-29,61,"['pop', 'singer-songwriter pop', 'uk pop']"
Sugar,Maroon 5,2015-05-18,72,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
Uptown Funk (feat. Bruno Mars),Mark Ronson,2015-01-12,85,"['pop', 'singer-songwriter pop', 'uk pop']"
Axel F,Crazy Frog,2005-08-01,71,['pop']
Dark Horse,Katy Perry,2013-10-18,78,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Perfect,Ed Sheeran,2017-03-03,89,"['folk-pop', 'neo mellow']"
Lean On (feat. MØ & DJ Snake),Major Lazer,2015-06-01,64,['pop']
Let Her Go (feat. Ed Sheeran) - Anniversary Edition,Passenger,2023-11-10,69,['pop']
Blank Space (Taylor's Version),Taylor Swift,2023-10-26,87,['cartoon']
Mi Gente,J Balvin,2017-06-30,70,['pop']
श्री हनुमान चालीसा,Sachin Sood,2021-06-21,1,['electro house']
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,2018-06-15,75,"['broadway', 'hollywood', 'movie tunes', 'show tunes']"
Shake It Off (Taylor's Version),Taylor Swift,2023-10-26,84,"['dance pop', 'latin pop', 'mexican pop']"
Faded,Alan Walker,2015-12-04,73,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,2013-01-01,77,[]
Bailando - Spanish Version,Enrique Iglesias,2014-07-04,69,"['pop', 'viral pop']"
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Hello,Adele,2015-11-20,78,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,76,"['pop', 'uk dance', 'uk funky']"
New Rules,Dua Lipa,2017-06-02,83,"['british soul', 'pop', 'pop soul', 'uk pop']"
Chantaje (feat. Maluma),Shakira,2017-05-26,78,"['modern rock', 'pop', 'pov: indie', 'rock']"
