id,song_name,artist_name,popularity
03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),PSY,75
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,88
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,88
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,85
6F5c58TMEs1byxUstkzVeM,Roar,Katy Perry,74
6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,81
09SNuR471zu5nVvC4IVG8j,Dame Tu Cosita (feat. Cutty Ranks),El Chombo,42
6bNB5gxFX6Q87DbQWb8OWZ,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,69
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,85
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,85
5d6Mjuu2uCGRPYpFjGpCX5,Sugar,Maroon 5,72
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,85
0Bo5fjMtTfCD8vHGebivqc,Axel F,Crazy Frog,71
5jrdCoLpJSvHHorevXBATy,Dark Horse,Katy Perry,78
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,89
1qE47wUKG2juJwPoLqg4C9,Lean On (feat. MØ & DJ Snake),Major Lazer,64
1nHKI4L5pWrN5CUvW07nHP,Let Her Go (feat. Ed Sheeran) - Anniversary Edition,Passenger,69
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,87
4ipnJyDU3Lq15qBAYNqlqK,Mi Gente,J Balvin,70
6tybdkf1AI0MbJWKkHC1xe,श्री हनुमान चालीसा,Sachin Sood,1
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,75
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,84
7gHs73wELdeycvS48JfIos,Faded,Alan Walker,73
7COfe3P7KgfwDwIRB8LIDw,Mi Gente,J Balvin,75
5M830cD7MNeiiwIGHzH9TV,Bailando - Spanish Version,Enrique Iglesias,69
6nFYXpBgrNcZjbtNEuc6yR,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63
1Yk0cQdMLx5RzzFTYwmuld,Hello,Adele,78
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,76
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,83
6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,78
15i07hah64WMAVWte3j5QU,Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,84
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,84
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,79
5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee,79
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,89
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,74
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,Eminem,88
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,85
6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,73
4VrWlk8IQxevMvERoX08iC,Chandelier,Sia,83
6Za3190Sbw39BBC77WSS1C,Criminal,NATTI NATASHA,76
