Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
Gangnam Style (강남스타일),PSY,2012-01-01,75
Counting Stars,OneRepublic,2013-01-01,88
Shape of You,Ed Sheeran,2017-03-03,88
Thinking out Loud,Ed Sheeran,2014-06-21,85
Roar,Katy Perry,2013-10-18,74
Despacito,Luis Fonsi,2019-02-01,81
Dame Tu Cosita (feat. Cutty Ranks),El Chombo,2018-05-10,39
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-05-28,69
Sorry,Justin Bieber,2015-11-13,85
See You Again (feat. Charlie Puth),Wiz Khalifa,2016-01-29,61
Sugar,Maroon 5,2015-05-18,72
Uptown Funk (feat. Bruno Mars),Mark Ronson,2015-01-12,85
Axel F,Crazy Frog,2005-08-01,71
Dark Horse,Katy Perry,2013-10-18,78
Perfect,Ed Sheeran,2017-03-03,89
Lean On (feat. MØ & DJ Snake),Major Lazer,2015-06-01,64
Let Her Go (feat. Ed Sheeran) - Anniversary Edition,Passenger,2023-11-10,69
Blank Space (Taylor's Version),Taylor Swift,2023-10-26,87
Mi Gente,J Balvin,2017-06-30,70
श्री हनुमान चालीसा,Sachin Sood,2021-06-21,1
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,2018-06-15,75
Shake It Off (Taylor's Version),Taylor Swift,2023-10-26,84
Faded,Alan Walker,2015-12-04,73
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,2013-01-01,77
Bailando - Spanish Version,Enrique Iglesias,2014-07-04,69
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63
Hello,Adele,2015-11-20,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,76
New Rules,Dua Lipa,2017-06-02,83
Chantaje (feat. Maluma),Shakira,2017-05-26,78
Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2016-08-19,2
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2016-01-29,84
Baby,Justin Bieber,2010-01-01,84
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016-05-27,79
Con Calma,Daddy Yankee,2019-01-24,79
Stressed Out,Twenty One Pilots,2015-05-15,89
Calma - Remix,Pedro Capó,2018-10-05,74
Love The Way You Lie,Eminem,2010-06-18,88
This Is What You Came For,Calvin Harris,2016-04-29,85
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,2021-10-22,73
Chandelier,Sia,2014-07-04,83
Criminal,NATTI NATASHA,2017-09-01,76
Believer,Imagine Dragons,2017-06-23,89
All About That Bass,Meghan Trainor,2015-01-09,75
The Lazy Song,Bruno Mars,2010-10-05,75
Alone,Marshmello,2016-05-13,73
Rude,MAGIC!,2014-06-25,83
Treat You Better,Shawn Mendes,2017-04-20,88
Rolling in the Deep,Adele,2011-01-24,84
A Thousand Years,Christina Perri,2011-10-18,84
"Te Bote (Remix) [Made Popular By Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny] [Vocal Version]",Party Tyme Karaoke,2022-01-31,1
Mayores,Becky G,2019-10-18,74
Wake Me Up,Avicii,2013-01-01,88
Party Rock Anthem,LMFAO,2011-01-01,75
All of Me,John Legend,2013-08-30,87
Starboy (Originally Performed by the Weeknd Ft. Daft Punk) - Karaoke Version,Hit The Button Karaoke,2016-10-28,1
Échame La Culpa,Luis Fonsi,2017-11-17,63
Diamonds,Rihanna,2012-12-11,80
Love Me Like You Do,Ellie Goulding,2018-02-09,75
What Do You Mean?,Justin Bieber,2015-11-13,82
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2018-12-14,86
That’s What I Like,Bruno Mars,2023-12-09,0
On The Floor,Jennifer Lopez,2011-01-01,80
Worth It (feat. Kid Ink),Fifth Harmony,2015-01-30,75
Something Just Like This,The Chainsmokers,2017-02-22,75
X,Nicky Jam,2019-11-01,75
Somebody That I Used To Know - Tiësto Remix,Gotye,2023-06-30,1
Sin Pijama,Becky G,2018-04-20,68
Side To Side,Ariana Grande,2016-05-20,69
Life Is Good (feat. Drake),Future,2020-01-10,77
No Me Conoce - Remix,Jhayco,2019-05-24,84
DDU-DU DDU-DU (Remix Version) [Live],BLACKPINK,2019-08-30,34
numb (Slowed + Reverb),my head is empty,2023-06-09,54
Heathens,Twenty One Pilots,2016-06-16,85
Someone Like You,Adele,2011-01-24,84
Con Altura,ROSALÍA,2019-03-28,74
November Rain,Guns N' Roses,1991-09-17,82
China,Anuel AA,2019-07-19,76
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,2018-12-14,81
Propuesta Indecente,Romeo Santos,2014-02-25,81
Don't Let Me Down (Originally Performed by the Chainsmokers Ft. Daya) - Karaoke Instrumental Version,Hit The Button Karaoke,2016-03-31,8
Havana (feat. Young Thug),Camila Cabello,2018-01-12,81
Hymn for the Weekend,Coldplay,2015-12-04,85
The Hills,The Weeknd,2015-08-28,88
Thunder,Imagine Dragons,2017-06-23,88
Dance Monkey,Tones And I,2019-10-17,78
Bang Bang,Jessie J,2014-10-14,80
Hotline Bling,Drake,2016-05-06,81
Ay Vamos,J Balvin,2014-09-16,72
lovely (with Khalid),Billie Eilish,2018-04-19,90
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,2018-05-11,84
Nunca Es Suficiente,Los Ángeles Azules,2018-06-08,75
Dura - Remix,Daddy Yankee,2018-04-27,65
In Da Club,50 Cent,2003-02-06,84
Just the Way You Are,Bruno Mars,2010-10-05,87
Felices los 4,Maluma,2018-05-18,75
Watch Me (Whip / Nae Nae),Silentó,2015-05-04,67
Vente Pa' Ca (feat. Maluma),Ricky Martin,2016-09-22,73
Kill This Love,BLACKPINK,2019-04-05,71
El Farsante - Remix,Ozuna,2018-01-30,71
Me Rehúso,Danny Ocean,2016-09-16,77
Cheap Thrills,Sia,2016-01-29,80
Take on Me,a-ha,1985-06-01,90
Not Afraid,Eminem,2010-06-18,83
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2012-08-01,67
Paradise,Coldplay,2011-10-24,86
Andas En Mi Cabeza,Chino & Nacho,2023-11-20,9
Human,Rag'n'Bone Man,2017-02-10,81
Titanium (feat. Sia),David Guetta,2012-12-07,83
Without Me,Eminem,2002-05-26,91
Bum Bum Tam Tam,MC Fioti,2014,52
Una Lady Como Tú,Manuel Turizo,2017-04-10,70
Dynamite,BTS,2020-11-20,82
Smells Like Teen Spirit,Nirvana,1991-09-26,84
Bad Romance,Lady Gaga,2009-11-05,84
Reggaetón Lento (Bailemos),CNCO,2016-08-26,74
