Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
Luis Fonsi - Despacito ft. Daddy Yankee,25794523,2017/08/05,1.0,35.0,359.0,kJQP7kiw5Fk
Ed Sheeran - Shape of You (Official Music Video),14390704,2017/05/13,1.0,4.0,356.0,JGwWNGJdvx8
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,8818084,2015/05/23,1.0,17.0,449.0,RgKAFK5djSk
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,6365428,2015/03/21,1.0,7.0,462.0,OPf0YbXqDm0
PSY - GANGNAM STYLE(강남스타일) M/V,14924298,2012/12/21,1.0,36.0,482.0,9bZkp7q19f0
El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records],14419156,2018/04/22,1.0,5.0,296.0,FzG4uDgje3M
Crazy Frog - Axel F (Official Video),4476499,2017/12/31,6.0,,354.0,k85mRPqvMbE
Maroon 5 - Sugar (Official Music Video),10684581,2015/01/16,1.0,1.0,304.0,09R8_2nJtjg
OneRepublic - Counting Stars,3288973,2018/11/10,4.0,,482.0,hT_nvWreIhg
Katy Perry - Roar,11294380,2013/09/07,2.0,5.0,445.0,CevxZvSJLk8
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),3551141,2010/06/26,1.0,8.0,622.0,pRpeEdMmmQ0
Justin Bieber - Sorry (PURPOSE : The Movement),11051088,2015/12/31,1.0,15.0,115.0,fRh_vgS2dFE
Ed Sheeran - Thinking Out Loud (Official Music Video),3771622,2015/02/14,3.0,1.0,304.0,lp-EO5I60KA
Katy Perry - Dark Horse ft. Juicy J,8374827,2014/02/22,1.0,12.0,331.0,0KSOMA3QBU0
Ed Sheeran - Perfect (Official Music Video),11266868,2017/12/02,1.0,2.0,316.0,2Vv-BfVoq4g
श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,3726792,2023/04/06,4.0,,263.0,AETFvQonfV8
Passenger | Let Her Go (Official Video),5932381,2019/01/16,14.0,,504.0,RBumgq5yVrA
Alan Walker - Faded,4514934,2016/04/30,3.0,1.0,310.0,60ItHLz5WEA
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),11495843,2018/06/29,1.0,8.0,210.0,aJOTlE1K90k
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),5901639,2015/12/31,1.0,10.0,205.0,YqeW9_5kURI
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona",6985464,2022/07/15,1.0,4.0,224.0,NUsoVlDFqZg
Taylor Swift - Shake It Off,9141293,2014/08/19,2.0,8.0,176.0,nfWlot6h_JM
Taylor Swift - Blank Space,9175310,2014/11/11,1.0,13.0,212.0,e-ORhEE9VVg
"J Balvin, Willy William - Mi Gente (Official Video)",15620713,2017/06/30,2.0,7.0,166.0,wnJ6LuUFpMo
FROZEN | Let It Go Sing-along | Official Disney UK,2489993,2023/01/21,8.0,,404.0,L0MK7qz13bU
The Gummy Bear Song - Long English Version,3525369,2018/04/05,10.0,,541.0,astISOttCQ0
Adele - Hello (Official Music Video),26979972,2015/10/23,1.0,10.0,132.0,YQHsXMglC9A
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],7506132,2016/12/10,4.0,,174.0,3AtDnEC4zak
Justin Bieber - Baby ft. Ludacris,2616068,2010/05/01,1.0,13.0,500.0,kffacxfA7G4
The Chainsmokers - Closer (Lyric) ft. Halsey,9285539,2016/10/15,1.0,13.0,85.0,PT2_F-1esPk
Dua Lipa - New Rules (Official Music Video),8867802,2017/10/28,3.0,1.0,275.0,k2qgadSvNyU
Shakira - Chantaje (Official Video) ft. Maluma,13373151,2016/12/31,1.0,7.0,75.0,6Mgqbai3fKo
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],7937034,2017/04/01,3.0,5.0,98.0,papuvlVeZg8
"Pedro Capó, Farruko - Calma (Remix - Official Video)",11603936,2019/01/16,1.0,6.0,229.0,1_zgKRBrT0Y
twenty one pilots: Stressed Out [OFFICIAL VIDEO],4101671,2016/05/07,5.0,,291.0,pXRviuL6vMY
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,8967803,2016/05/28,1.0,9.0,105.0,5GL9JoH4Sws
Daddy Yankee & Snow - Con Calma (Video Oficial),12142267,2019/03/23,1.0,8.0,166.0,DiItGE3eAyQ
"Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna",10342820,2016/07/14,1.0,11.0,86.0,kOkQ4T5WO9E
Eminem - Love The Way You Lie ft. Rihanna,6290480,2010/08/06,1.0,14.0,392.0,uelHwf8o7_U
Bruno Mars - The Lazy Song (Official Music Video),1872433,2011/05/20,2.0,4.0,413.0,fLexgOxsZu0
Sia - Chandelier (Official Video),3405027,2015/01/10,4.0,,164.0,2vjPBrBU-TM
Meghan Trainor - All About That Bass (Official Video),5051063,2014/11/22,1.0,5.0,163.0,7PCkvCPvDXk
Imagine Dragons - Believer (Official Music Video),2543902,2018/12/31,25.0,,325.0,7wtfhZwyrcc
Natti Natasha ❌ Ozuna - Criminal [Official Video],12097157,2017/11/04,1.0,2.0,102.0,VqEbCxg2bNI
"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",15871044,2018/10/10,1.0,10.0,146.0,ixkoVwKQaJg
Marshmello - Alone (Official Music Video),6243802,2019/02/03,4.0,,247.0,ALZHF5UqnU4
MAGIC! - Rude (Official Video),2228410,2014/10/11,5.0,,207.0,PIh2xe4jnpk
"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)",14614788,2018/05/05,1.0,6.0,110.0,9jI-z9QN6g8
Shawn Mendes - Treat You Better,4278386,2016/10/15,7.0,,89.0,lY2yjAdbvdQ
Adele - Rolling in the Deep (Official Music Video),1825279,2012/02/13,4.0,,365.0,rYEDA3JcQqw
Christina Perri - A Thousand Years [Official Music Video],2439607,2017/12/21,29.0,,306.0,rtOvBOTyX00
"Becky G, Bad Bunny - Mayores (Official Video)",9321393,2017/11/04,4.0,,125.0,GMFewiplIbw
The Weeknd - Starboy ft. Daft Punk (Official Video),7045377,2016/12/31,3.0,2.0,95.0,34Na4j8AVgA
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1900727,2011/11/05,1.0,6.0,305.0,KQ6zr6kCPj8
John Legend - All of Me (Official Video),1667277,2015/10/30,12.0,,230.0,450p7goxZqg
Avicii - Wake Me Up (Official Video),19979393,2018/04/20,3.0,1.0,210.0,IcrbM1l_BoI
Ellie Goulding - Love Me Like You Do (Official Video),6184091,2015/03/14,2.0,2.0,152.0,AJtDXIazrMo
"Luis Fonsi, Demi Lovato - Échame La Culpa",18955579,2017/11/17,1.0,6.0,68.0,TyHvyGVs42U
Rihanna - Diamonds,4756748,2012/11/11,2.0,7.0,284.0,lWA2pjMjpBs
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",4852903,2019/01/10,8.0,,266.0,ApXoWvfEYVU
Justin Bieber - What Do You Mean?,11944316,2015/08/31,1.0,1.0,101.0,DK_0jXPuIr0
Fifth Harmony - Worth It (Official Video) ft. Kid Ink,3993020,2016/05/28,4.0,,112.0,YBHQbu5rbdQ
Jennifer Lopez - On The Floor ft. Pitbull,5902176,2011/03/05,1.0,17.0,185.0,t4H_Zoh7G5A
Bruno Mars - That’s What I Like [Official Music Video],10379762,2017/03/02,5.0,,68.0,PMivT7MJ41M
The Chainsmokers & Coldplay - Something Just Like This (Lyric),8173630,2017/02/23,6.0,,111.0,FM7MFYoylVs
